Title,Normal_price,Current_price,Sku,Code,Weight,Category,Brand,Sub_category,Img_url,Processor,Motherboard,Ssd,Ram,Vga,Psu,Fan_casing,Cpu_cooler,Network,Casing,Keyboard_mouse,Mousepad,Software
EK Office Fizzword Red-X V2,2.845.000,Rp2.790.000,186267,EK MY91C23,10 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/30/4f262026-8943-4e58-a1e4-8c65cca2ff2f.jpg'],AMD Ryzen 3 3200G 3.6Ghz Up To 4.0Ghz Cache 4MB 65W AM4 [Box] - 4 Core - YD3200C5FHBOX - with AMD Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"MAXSUN Challenger A520M-K (AM4, A520, DDR4, USB 3.2, SATA3)",CUBE GAMING Phoenix SSD 256GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,None,None,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword Blue-X,3.600.000,Rp3.550.000,188026,EK 3RES224,12 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/8/a40b47cc-20c3-492b-8a98-3226c46576c1.jpg'],Intel Core i3-10105 3.7Ghz Up To 4.4Ghz - Cache 6MB [Box] Socket LGA 1200 - Comet Lake Refresh Series,"MAXSUN Challenger H510M-R (LGA1200, H510, DDR4, USB3.2, SATA3)",ADATA LEGEND 710 256GB M.2 NVME R 2100MB/S W 1000MB/S,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,None,None,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword PRO Red V2,3.610.000,Rp3.550.000,191290,EK H73TE24,12 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/9/43c255ec-bbbf-4e68-a952-eb4c37dd9920.jpg'],AMD Ryzen 5 4600G 3.7Ghz Up To 4.2Ghz Cache 8MB 65W AM4 [Tray] - 6 Core - NEW UNIT - 1 Years Warranty Replacement,"MAXSUN Challenger A520M-K (AM4, A520, DDR4, USB 3.2, SATA3)",CUBE GAMING Phoenix SSD 256GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword Blue-XII V2,3.729.000,Rp3.650.000,189328,EK JPQJW24,12 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/11/a686e5c5-0c24-42b4-aec9-dffcd6e066df.jpg'],Intel Core i3-12100 3.3GHz Up To 4.3GHz - Cache 12MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN Challenger H610M-D (LGA1700, H610, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 256GB M.2 2280 NVMe PCle Gen3 x4 - K256GM2SP0-C71 - R1950MB/s W1250MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),None,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Office Fizzword PRO Blue-XII,4.440.000,Rp4.350.000,189429,EK 5KYYP24,16 Kg,PC Ready,EK Office,EK Office Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/8/a59edca4-ff23-4535-a222-84f084002b67.jpg'],Intel Core i5-12400 2.5GHz Up To 4.4GHz - Cache 18MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN Challenger H610M-D (LGA1700, H610, DDR4, USB3.2, SATA3)",CUBE GAMING Phoenix SSD 256GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,None,None,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING PARK with PSU (Support m-ATX Size),Logitech Classic MK120 USB (K120 + B100),Fantech Vigil MP256 Mousepad (250x210x2mm),Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleStealth SUN,5.155.000,Rp5.090.000,186520,EK D32XK23,16 Kg,PC Ready,EK Gaming,EK Gaming BattleStealth Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/9/da30d753-5d81-40fb-a7ff-d0b04a476443.jpg'],AMD Ryzen 5 5600G 3.9Ghz Up To 4.4Ghz Cache 16MB 65W AM4 [Tray] - 6 Core - NEW UNIT - 1 Years Warranty Replacement,"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SANG BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor 580,6.445.000,Rp6.350.000,191373,EK QJQ1C24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/1/ced1e26c-e5f4-40e1-ae25-406e7c3aa592.jpg'],AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Box] - 6 Core - 100-100000457BOX - with Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Arktek Radeon RX 580 8GB GDDR5 Cyclops - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,None,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SHAFEL Lite S BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Mini Dual Chamber Design - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleFragment 580,6.815.000,Rp6.690.000,191323,EK F3TUW24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleFragment Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/24/de3a013d-76e8-4993-acf3-b00f53eb133c.jpg'],Intel Core i5-10400F 2.9Ghz Up To 4.3Ghz - Cache 12MB [Box] Socket LGA 1200 - Comet Lake Series,"ASRock B560M-HDV/M.2 (LGA1200, B560, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Arktek Radeon RX 580 8GB GDDR5 Cyclops - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,Antec A400i Neon Lighting Air Cooler - 4 Direct-Touched Copper Heat Pipes - All Intel & AMD Socket,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SANG BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor NV,6.960.000,Rp6.850.000,187940,EK 2RTQ224,16 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/15/99d49836-2cc4-416e-bc5f-7f513c558b8f.jpg'],AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Box] - 6 Core - 100-100000457BOX - with Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Inno3D GeForce GTX 1650 4GB GDDR6 TWIN X2 OC V3 - DUAL FAN - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,None,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,Antec NX200M - mATX Gaming Case - Left Side Glass Door - FREE 1 PCS 12CM FAN,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor 165 WHITE,7.130.000,Rp6.990.000,191610,EK 0S2DD24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/14/f4995614-0aaf-44dc-8380-af8473911a92.jpg'],AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Box] - 6 Core - 100-100000457BOX - with Wraith Stealth Cooler (Garansi Lokal/AMD Indonesia),"ASRock B550M Pro SE (AM4, AMD PRO565, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),GALAX Geforce GTX 1650 4GB GDDR6 EX PLUS (1-Click OC) - DUAL FAN - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,Paradox Hypersonic F-400 White V2 12CM Rainbow Fan,None,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SANG WHITE - mATX Gaming Case - All White Inside - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleFragment 165,7.379.000,Rp7.250.000,191358,EK QN9UK24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleFragment Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/24/c8b9d4a4-2617-4d77-80f4-53138e1a4cbf.jpg'],Intel Core i5-10400F 2.9Ghz Up To 4.3Ghz - Cache 12MB [Box] Socket LGA 1200 - Comet Lake Series,"ASRock B560M-HDV/M.2 (LGA1200, B560, DDR4, USB3.2, SATA3)",ADATA LEGEND 710 512GB M.2 NVME R 2400MB/S W 1000MB/S,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Inno3D GeForce GTX 1650 4GB GDDR6 TWIN X2 OC V3 - DUAL FAN - Garansi 3 Thn,1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty,CUBE GAMING INDIGO - RGB RAINBOW STATIC FAN 12CM - PINK,CUBE GAMING WIND V2 - 2 Copper Heat Pipes - Mirror RGB TOP Cover - Gaming CPU Cooler Rainbow Led - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING SHAFEL Lite S WHITE - mATX Gaming Case - All White Inside - Front & Left Side Tempered Glass - Mini Dual Chamber Design - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleLionz 650 XT,7.395.000,Rp7.250.000,191592,EK NRUTV24,25 Kg,PC Ready,EK Gaming,EK Gaming BattleLionz Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/12/bb11c8d7-be4c-47ff-9315-de6bb6815971.jpg'],Intel Core i3-12100F 3.3GHz Up To 4.3GHz - Cache 12MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN H610M 666 WIFI6 ARGB (LGA1700, H610, DDR4, USB3.2, SATA3)",CUBE GAMING Phoenix SSD 512GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Sapphire PULSE Radeon RX 6500 XT 4GB GDDR6 Gaming OC,Super Flower ZILLION DW 550W - SF-550Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years,CUBE GAMING MYSTIQUE FAN White 12CM PWM A-RGB Fan (5x 12CM PWM Fan A-RGB),CUBE GAMING ILLUMINE - Mirror RGB TOP Cover - 4 Copper Heat Pipes - Single Fan 12CM Infinity ARGB - Metal Bracket - Universal Socket (AM5 Ready),None,CUBE GAMING ALUNDRA - ATX - LEFT SIDE TEMPERED GLASS - PSU COVER - RGB FRONT PANEL,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleLionz D5,7.529.000,Rp7.390.000,189428,EK FBAJ924,24 Kg,PC Ready,EK Gaming,EK Gaming BattleLionz Series,"['https://assets.enterkomputer.com/frontend/pcready/30-5-24-Battle-Lionz-D51-1719803496.jpg', 'https://assets.enterkomputer.com/frontend/pcready/30-5-24-Battle-Lionz-D5-5-1721627171.jpg', 'https://assets.enterkomputer.com/frontend/pcready/30-5-24-Battle-Lionz-D52-1721627171.jpg', 'https://assets.enterkomputer.com/frontend/pcready/30-5-24-Battle-Lionz-D53-1721627182.jpg', 'https://assets.enterkomputer.com/frontend/pcready/30-5-24-Battle-Lionz-D54-1721627182.jpg']",Intel Core i3-12100F 3.3GHz Up To 4.3GHz - Cache 12MB [Box] Socket LGA 1700 - Alder Lake Series,"MAXSUN Challenger B760M-N D5 (LGA1700, B760, DDR5, USB3.2, SATA3)",KLEVV SSD CRAS C910 500GB M.2 2280 NVMe PCle Gen4 x4 - K500GM2SP0-C91 - R5000MB/s W3700MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),GALAX Geforce GTX 1650 4GB GDDR6 EX PLUS (1-Click OC) - DUAL FAN - Garansi 3 Thn,Super Flower Mega Series 500W - SF-500R12ST - 80 PLUS White - 5 Years,Paradox Victory Inner 12CM Fan - F12VISFRGB12,Antec A400i Neon Lighting Air Cooler - 4 Direct-Touched Copper Heat Pipes - All Intel & AMD Socket,TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING YASH BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleLionz 305 WHITE,7.765.000,Rp7.650.000,191582,EK VRKR124,16 Kg,PC Ready,EK Gaming,EK Gaming BattleLionz Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/12/a99fb68b-f764-44b4-96a3-38513f432f69.jpg'],Intel Core i3-12100F 3.3GHz Up To 4.3GHz - Cache 12MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN H610M 666 WIFI6 ARGB (LGA1700, H610, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C910 500GB M.2 2280 NVMe PCle Gen4 x4 - K500GM2SP0-C91 - R5000MB/s W3700MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),GALAX GeForce RTX 3050 6GB GDDR6 EX (1-Click OC) - DUAL FAN - Garansi 3 Thn,Super Flower ZILLION DW 550W - SF-550Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years,Paradox Hypersonic F-400 White V2 12CM Rainbow Fan,CUBE GAMING BREEZE Single White CPU Cooler - Single Fan 12CM ARGB - 4 Copper Heat Pipes - Universal Socket (AM5 Ready),None,CUBE GAMING SANG WHITE - mATX Gaming Case - All White Inside - Front & Left Side Tempered Glass - Dust Filter - PSU Cover,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleLionz 305,7.950.000,Rp7.790.000,191530,EK 13C3224,18 Kg,PC Ready,EK Gaming,EK Gaming BattleLionz Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/7/c5f182f3-3338-4016-b5a8-dc06c7228b35.jpg'],Intel Core i3-12100F 3.3GHz Up To 4.3GHz - Cache 12MB [Tray] Socket LGA 1700 - Alder Lake Series - NEW UNIT - 1 Years Warranty,"MAXSUN H610M 666 WIFI6 ARGB (LGA1700, H610, DDR4, USB3.2, SATA3)",ADATA LEGEND 710 512GB M.2 NVME R 2400MB/S W 1000MB/S,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Inno3D GeForce RTX 3050 6GB GDDR6 TWIN X2 - DUAL FAN - Garansi 3 Thn,Super Flower ZILLION DW 550W - SF-550Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,CUBE GAMING BREEZE Single CPU Cooler - Single Fan 12CM ARGB - 4 Copper Heat Pipes - Universal Socket (AM5 Ready),None,CUBE GAMING PREMIUM CIELO MINI BLACK - mATX Gaming Case - Front-Top & Left Side Tempered Glass - Aesthetic Mini Dual Chamber Design - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleMoonz 650 XT,7.960.000,Rp7.790.000,191591,EK B2JRT24,20 Kg,PC Ready,EK Gaming,EK Gaming BattleMoonz Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/11/66bb99da-d089-4e97-b2b3-c4ed2d248a84.jpg'],AMD Ryzen 5 5600 3.5Ghz Up To 4.4Ghz Cache 32MB 65W AM4 [Tray] - 6 Core - NEW UNIT - 1 Years Warranty Replacement,"MAXSUN Terminator B550M (AM4, AMD B550, DDR4, USB3.2, SATA3)",CUBE GAMING Phoenix SSD 512GB M.2 NVME PCIe Gen3x4,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Sapphire PULSE Radeon RX 6500 XT 4GB GDDR6 Gaming OC,Super Flower ZILLION DW 550W - SF-550Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years,CUBE GAMING MAGNET WHITE A-RGB Fan (3 x 120MM) Wireless Connection Fan with Remote Controller,CUBE GAMING ILLUMINE - Mirror RGB TOP Cover - 4 Copper Heat Pipes - Single Fan 12CM Infinity ARGB - Metal Bracket - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N PCI Express Adapter - TL-WN781ND,CUBE GAMING ALUNDRA - ATX - LEFT SIDE TEMPERED GLASS - PSU COVER - RGB FRONT PANEL,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleStealth D5,7.949.000,Rp7.850.000,188024,EK 93ANR24,14 Kg,PC Ready,EK Gaming,EK Gaming BattleStealth Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/9/2a362309-88f8-4a14-9f95-9c0e28aa88b8.jpg'],AMD Ryzen 5 8600G 4.3Ghz Up To 5.0Ghz Cache 16MB 65W AM5 [Box] - 6 Core - 100-100001237BOX,"MAXSUN Challenger B650M WIFI (AM5, AMD B650, DDR5, USB3.2, SATA3)",ADATA LEGEND 850 Lite 500GB NVME PCIe Gen4x4 - R 4700MB/S W 1700MB/S - ALEG-850L-500GCS,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,Super Flower ZILLION DW 550W - SF-550Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years,Paradox Hypersonic F-400 Black V2 12CM Rainbow Fan,CUBE GAMING SHARPEN - ARGB Air Cooler - for All Intel Socket & AMD Socket - Support LGA 1700,None,CUBE GAMING SHAFEL Lite S BLACK - mATX Gaming Case - Front & Left Side Tempered Glass - Mini Dual Chamber Design - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleStealth D5 WHITE,8.100.000,Rp7.990.000,190812,EK 4WAWN24,16 Kg,PC Ready,EK Gaming,EK Gaming BattleStealth Series,['https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/23/214807b1-cde7-4fdb-8948-d31c34d57e97.jpg'],AMD Ryzen 5 8600G 4.3Ghz Up To 5.0Ghz Cache 16MB 65W AM5 [Box] - 6 Core - 100-100001237BOX,"MAXSUN Challenger B650M WIFI (AM5, AMD B650, DDR5, USB3.2, SATA3)",KLEVV SSD CRAS C925 500GB M.2 2280 NVMe PCle Gen4 x4 with Heatsink - K500GM2SP0-C9T - R7400MB/s W6200MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),Integrated GPU,Super Flower ZILLION DB 550W - SF-550Z12DB - 80 PLUS BRONZE - Flat Cable - 5 Years,Paradox Hypersonic F-400 White V2 12CM Rainbow Fan,None,None,CUBE GAMING PREMIUM CIELO MINI WHITE - mATX Gaming Case - All White Inside - Front-Top & Left Side Tempered Glass - Aesthetic Mini Dual Chamber Design - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleFragment SR,8.340.000,Rp8.190.000,190445,EK 6XXKK24,18 Kg,PC Ready,EK Gaming,EK Gaming BattleFragment Series,"['https://assets.enterkomputer.com/frontend/pcready/9-8-24-Battle-Fragment-SR1-1724143358.jpg', 'https://assets.enterkomputer.com/frontend/pcready/9-8-24-Battle-Fragment-SR5-1724143358.jpg', 'https://assets.enterkomputer.com/frontend/pcready/9-8-24-Battle-Fragment-SR2-1724143359.jpg', 'https://assets.enterkomputer.com/frontend/pcready/9-8-24-Battle-Fragment-SR3-1724143359.jpg', 'https://assets.enterkomputer.com/frontend/pcready/9-8-24-Battle-Fragment-SR4-1724143360.jpg']",Intel Core i5-10400F 2.9Ghz Up To 4.3Ghz - Cache 12MB [Box] Socket LGA 1200 - Comet Lake Series,"ASRock B560M-HDV/M.2 (LGA1200, B560, DDR4, USB3.2, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),PELADN GeForce GTX 1660 SUPER 6GB GDDR6 KaiTian - DUAL FAN - Garansi 2 Thn,Super Flower Mega Series 500W - SF-500R12ST - 80 PLUS White - 5 Years,CUBE GAMING FIX White - Rainbow 12CM FAN,Antec A400i Neon Lighting Air Cooler - 4 Direct-Touched Copper Heat Pipes - All Intel & AMD Socket,TP - Link 150 Mbps Wireless N USB Adapter - TL -WN725N (Nano USB Adapter),CUBE GAMING RUFYN WHITE - ATX - All White Inside - LEFT SIDE TEMPERED GLASS - PSU COVER - DUST FILTER - RGB FRONT PANEL,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
EK Gaming BattleConceptor SR,8.410.000,Rp8.250.000,186521,EK CTKPF23,20 Kg,PC Ready,EK Gaming,EK Gaming BattleConceptor Series,"['https://assets.enterkomputer.com/frontend/pcready/17-7-24-Battle-Conceptor-SR1-1721208770.jpg', 'https://assets.enterkomputer.com/frontend/pcready/17-7-24-Battle-Conceptor-SR5-1721208770.jpg', 'https://assets.enterkomputer.com/frontend/pcready/17-7-24-Battle-Conceptor-SR2-1721208789.jpg', 'https://assets.enterkomputer.com/frontend/pcready/17-7-24-Battle-Conceptor-SR3-1721208790.jpg', 'https://assets.enterkomputer.com/frontend/pcready/17-7-24-Battle-Conceptor-SR4-1721208790.jpg']",AMD Ryzen 5 5500 3.6Ghz Up To 4.2Ghz Cache 16MB 65W AM4 [Tray] - 6 Core - NEW UNIT - 1 Years Warranty Replacement,"ASRock B450M Steel Legend (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)",KLEVV SSD CRAS C710 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C71 - R2050MB/s W1650MB/s,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*),PELADN GeForce GTX 1660 SUPER 6GB GDDR6 KaiTian - DUAL FAN - Garansi 2 Thn,1STPLAYER DK PREMIUM PS-500AX 80+ Bronze Certified - Japanese Main Capacitors - 5 Years Warranty Replacement,CUBE GAMING FIX White - Rainbow 12CM FAN,CUBE GAMING BREEZE Single White CPU Cooler - Single Fan 12CM ARGB - 4 Copper Heat Pipes - Universal Socket (AM5 Ready),TP - Link 150 Mbps Wireless N USB Adapter + Antenna - TL-WN722N,CUBE GAMING CURVAR WHITE - mATX Gaming Case - Front Curve Design & Left Side Tempered Glass - Airflow Potential - Dust Filter,None,None,Windows 11 Home 64Bit (*Unactivated*) & Office Home Student 2021 (*Unactivated*)
